LNGI;LATI;PRID;Horizon;Nom_horizon;epais_hor;transition_distin;Munshell_col_hud;sable_gros;sable_moy;sable_fin;sable_tr_fin;sable_total;Limon;Argile;classe_TT;PH;PHKC;SO4;EXCA;EXMG;EXNA;EXCK;EXAL;CECS;total_carbone;total_azote;Phosphore
-16,35280609;15,38475037;SN008C/B012;4;NA;150;NA;7,5YR5/8;NA;NA;NA;NA;NA;NA;NA;NA;4,800000191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,08749962;15,40694046;SN008C/B014;1;A;26;NA;10YR4/4;32;NA;58;NA;90;5;5;S;6,699999809;5,599999905;NA;1,110000014;0,529999971;0,02;0,079999998;NA;2,349999905;1,5;0,170000017;2
-16,08749962;15,40694046;SN008C/B014;2;(B);103;NA;10YR3/3;31;NA;56;NA;90;4;6;S;6,5;5;NA;1,350000024;0,850000024;0,01;0,029999999;NA;2,710000038;NA;NA;NA
-16,08749962;15,40694046;SN008C/B014;3;C;150;NA;7,5YR4/6;NA;NA;NA;NA;NA;NA;NA;NA;6,300000191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,40049934;15,40299988;SN008C/B13;1;Ap;4;NA;10YR4/4;NA;NA;NA;NA;NA;NA;NA;NA;7,400000095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,40049934;15,40299988;SN008C/B13;2;A;34;NA;10YR4/6;NA;NA;NA;NA;NA;NA;NA;NA;7,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,40049934;15,40299988;SN008C/B13;3;NA;67;NA;10YR5/6;NA;NA;NA;NA;NA;NA;NA;NA;6,900000095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,40049934;15,40299988;SN008C/B13;4;NA;100;NA;10YR5/7;NA;NA;NA;NA;NA;NA;NA;NA;5,099999905;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,40049934;15,40299988;SN008C/B13;5;NA;150;NA;10YR6/8;NA;NA;NA;NA;NA;NA;NA;NA;5,199999809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,86058426;14,90536022;SN102IAO;1;A;2;A;7,5YR5/3;12;7;17;NA;35;33;32;CL;5,869999886;NA;NA;4,909999847;2,829999924;0,330000013;0,75;NA;8,819999695;8,300000191;0,829999983;NA
-16,86058426;14,90536022;SN102IAO;2;AE;55;C;7,5YR4/4;9;5;14;NA;28;30;41;C;5,53000021;NA;NA;7,019999981;2,950000048;0,439999998;0,129999995;NA;10,53999996;7,400000095;0,649999976;NA
-16,86058426;14,90536022;SN102IAO;3;CE;85;C;5YR4/4;11;5;13;NA;29;29;41;C;6,579999924;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,86058426;14,90536022;SN102IAO;4;C;145;G;10YR6/6;26;6;7;NA;39;23;37;CL;6,860000134;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,94788933;14,92096996;SN103IAO;1;AC;100;NA;5YR3/4;29;12;12;NA;53;34;13;SL;6,599999905;NA;NA;10,73999977;2,599999905;0,310000002;0,460000008;NA;14,10999966;18,5;1,610000014;NA
-17,07083321;14,91666985;SN105IAO;1;Ah1;1;A;10YR2/1;65;15;3;NA;83;10;7;LS;7,599999905;NA;NA;NA;4,110000134;0,170000002;0,720000029;NA;14,80000019;30,39999962;2,5;NA
-17,07083321;14,91666985;SN105IAO;2;Ah2;12;A;10YR2/1;57;20;4;NA;81;10;9;LS;8,130000114;NA;NA;NA;3,410000086;0,159999996;0,280000001;NA;10;15;1,460000038;NA
-17,07083321;14,91666985;SN105IAO;3;Cg1;30;A;10YR5/3;75;19;2;NA;96;3;1;S;8,43999958;NA;NA;NA;1,5;0,119999997;0,01;NA;1,799999952;1,700000048;0,200000003;NA
-17,07083321;14,91666985;SN105IAO;4;Cg2;70;C;10YR6/3;83;14;0;NA;97;1;1;S;8,409999847;NA;NA;NA;0,550000012;0,150000006;0,01;NA;0,699999988;2,900000095;0,150000006;NA
-17,07083321;14,91666985;SN105IAO;5;Cg3;154;NA;10YR6/3;70;27;1;NA;97;2;1;S;7,690000057;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,86055756;14,90536022;SN112IAO;1;A;15;C;10YR5/1;4;3;2;NA;9;34;57;C;7,900000095;NA;NA;NA;5,769999981;1,330000043;1,059999943;NA;19,89999962;11,39999962;1,200000048;NA
-16,86055756;14,90536022;SN112IAO;2;B1;30;G;10YR5/1;3;2;1;NA;6;40;54;C;7,800000191;NA;NA;NA;8,890000343;1,980000019;1,340000033;NA;19,89999962;11,80000019;0,829999983;NA
-16,86055756;14,90536022;SN112IAO;3;B2;85;C;10YR4/1;17;18;4;NA;29;20;41;C;8,100000381;NA;NA;NA;12,35999966;4,079999924;1,269999981;NA;18,70000076;10;0,779999971;NA
-17,00677872;14,9106102;SN113IAO;1;A;35;C;2,5Y3/2;5;2;2;NA;9;63;28;SICL;7,699999809;NA;NA;NA;4,409999847;0,109999999;0,119999997;NA;27,79999924;32,59999847;1,600000024;NA
-17,00677872;14,9106102;SN113IAO;2;Bw1;65;C;2,5Y3/2;19;5;7;NA;31;44;25;L;8,100000381;NA;NA;NA;2,630000114;0,109999999;0,090000004;NA;10,69999981;17,79999924;0,469999999;NA
-17,00677872;14,9106102;SN113IAO;3;Bw2;75;C;2,5Y6/2;5;5;9;NA;18;52;29;SICL;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-17,00677872;14,9106102;SN113IAO;4;C1;115;C;2,5Y8/3;8;3;5;NA;17;54;29;SICL;8,300000191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-17,00677872;14,9106102;SN113IAO;5;C2;170;NA;2,5Y7/3;2;2;7;NA;11;67;22;SIL;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-17,01300049;14,88599968;SN118IAO;1;A;15;A;10YR3/1;24;12;6;NA;41;28;31;CL;8;NA;NA;NA;5,889999866;0,159999996;0,219999999;NA;20;19,10000038;1,360000134;NA
-17,01300049;14,88599968;SN118IAO;2;BC;65;D;2,5YR6/4;1;1;1;1;3;33;56;SIC;8,399999619;NA;NA;NA;11,31000042;1,360000014;0,02;NA;11;6,599999905;0,230000004;NA
-17,01300049;14,88599968;SN118IAO;3;BCg;120;NA;2,5YR5/4;1;0;0;0;1;40;59;C;8,300000191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-17,07125092;14,92500019;SN121IAO;1;A1;45;A;10YR2/2;54;24;6;NA;85;11;4;LS;3,200000048;NA;NA;NA;5,769999981;1,330000043;1,059999943;2,049999952;5,579999924;30,79999924;2,739999771;NA
-17,07125092;14,92500019;SN121IAO;2;A2;63;A;10YR7/4;74;21;1;NA;96;2;2;S;3,299999952;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-17,07125092;14,92500019;SN121IAO;3;C1;70;A;10YR2/2;80;19;3;NA;99;0;0;S;3,900000095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-17,07125092;14,92500019;SN121IAO;4;C2;120;D;10YR6/4;73;24;85;NA;98;1;1;S;3,900000095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-17,07125092;14,92500019;SN121IAO;5;C3;145;NA;10YR4/2;88;10;1;NA;98;1;1;S;3,900000095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,89500046;14,70199966;SN204IAO;1;Ap;20;C;7,5YR4/3;55;26;13;NA;94;2;4;S;7;NA;NA;2,029999971;0,409999996;0,100000001;0,07;NA;2,609999895;1,899999976;0,180000007;NA
-16,89500046;14,70199966;SN204IAO;2;B;80;D;7,5YR6/6;50;27;17;NA;93;1;5;S;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,399999976;0,119999997;NA
-16,89500046;14,70199966;SN204IAO;3;C;140;NA;7,5YR8/3;58;25;11;NA;94;1;5;S;5,900000095;NA;NA;5,510000229;0,189999998;0,119999997;0,039999999;0,150000006;6,210000038;0,600000024;0,119999997;NA
-16,89999962;14,84000015;SN206IAO;1;A0;2;A;NA;30;25;21;NA;76;15;9;LS;6,699999809;NA;NA;1,409999967;0,680000007;0,379999995;0,529999971;NA;3,099999905;3,200000048;0,330000013;NA
-16,89999962;14,84000015;SN206IAO;2;A1;20;C;NA;45;21;11;NA;77;11;12;LS;5,300000191;NA;NA;2,140000105;0,600000024;0,189999998;0,02;NA;3,349999905;3,799999952;0,330000013;NA
-16,89999962;14,84000015;SN206IAO;3;R;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-15,52000046;13,90999985;SNA006/C001;2;A;28;NA;10YR5/2;3;NA;38;21;62;27;10;SL;5,900000095;NA;NA;0,5;0,200000003;0,150000006;0,449999988;NA;7,5;2,700000048;0,219999999;NA
-15,52000046;13,90999985;SNA006/C001;3;BA;51;NA;10YR5/3;2;NA;32;22;56;30;13;SL;5,5;NA;NA;0,600000024;0,25999999;0,150000006;0,460000008;NA;7,699999809;1,399999976;0,109999999;NA
-15,52000046;13,90999985;SNA006/C001;4;B1;72;NA;10YR6/3;2;NA;34;24;60;23;15;SL;5,5;NA;NA;0,699999988;0,310000002;0,200000003;0,460000008;NA;7,5;NA;NA;NA
-15,52000046;13,90999985;SNA006/C001;5;B2;116;NA;10YR5/4;3;NA;38;12;54;17;28;L;5,199999809;NA;NA;1,299999952;0,340000004;0,50999999;0,540000021;NA;10,60000038;NA;NA;NA
